,userId,itemId,Xmin,Ymin,Xmax,Ymax,Xmin_true,Ymin_true,Xmax_true,Ymax_true
0,1164,6132,62,656,276,803,47,650,213,812
1,1399,6132,184,662,235,740,47,650,213,812
2,1694,6132,63,648,272,830,47,650,213,812
3,916,6132,111,637,253,831,47,650,213,812
4,1621,6132,60,651,242,819,47,650,213,812
5,1092,6132,39,649,249,825,47,650,213,812
6,301,31297,29,393,126,487,18,390,122,472
7,1508,31297,25,399,120,485,18,390,122,472
8,535,31297,25,399,108,472,18,390,122,472
9,254,18168,209,739,534,1051,35,713,656,1082
10,1147,18168,243,719,479,977,35,713,656,1082
11,246,18168,159,718,587,1074,35,713,656,1082
12,29,8398,53,1020,61,1027,51,1021,59,1027
13,421,8398,54,1020,61,1028,51,1021,59,1027
14,1050,8398,53,1019,61,1028,51,1021,59,1027
15,154,8774,116,959,795,1300,205,792,835,1309
16,866,8774,308,1044,755,1317,205,792,835,1309
17,311,8774,288,967,296,975,205,792,835,1309
18,1651,2722,21,324,305,507,86,293,372,463
19,950,2722,65,322,328,473,86,293,372,463
20,577,2722,22,318,312,507,86,293,372,463
21,1585,29286,42,605,118,691,34,593,148,671
22,379,29286,35,598,120,681,34,593,148,671
23,1165,29286,96,602,97,603,34,593,148,671
24,857,3135,116,171,552,575,73,284,596,623
25,356,3135,101,156,564,592,73,284,596,623
26,903,3135,105,173,476,478,73,284,596,623
27,1496,30215,63,368,235,548,14,316,325,556
28,1508,30215,38,326,220,554,14,316,325,556
29,590,30215,61,357,197,479,14,316,325,556
30,491,30215,50,330,239,554,14,316,325,556
31,483,30215,52,327,218,556,14,316,325,556
32,1453,30215,49,361,228,545,14,316,325,556
33,147,30215,47,320,239,548,14,316,325,556
34,145,30215,61,345,179,509,14,316,325,556
35,904,30215,36,339,227,539,14,316,325,556
36,1041,33357,56,899,220,1060,48,897,263,1058
37,1411,33357,53,904,258,1069,48,897,263,1058
38,937,33357,48,911,212,1064,48,897,263,1058
39,660,10766,6,255,404,725,3,179,682,589
40,917,10766,94,214,448,689,3,179,682,589
41,1743,10766,60,172,479,635,3,179,682,589
42,831,11109,47,609,920,1102,141,561,732,1162
43,820,11109,99,718,924,1031,141,561,732,1162
44,1212,11109,31,603,546,1084,141,561,732,1162
45,917,11109,79,687,935,1048,141,561,732,1162
46,1576,11109,76,667,924,1124,141,561,732,1162
47,1405,11109,75,656,919,1043,141,561,732,1162
48,1743,11109,58,593,481,1082,141,561,732,1162
49,1003,13110,43,469,515,835,13,353,873,993
50,1282,13110,46,435,652,922,13,353,873,993
51,1182,13110,70,516,493,878,13,353,873,993
52,1602,813,283,1042,624,1432,41,1006,782,1701
53,886,813,271,1010,679,1421,41,1006,782,1701
54,1168,813,182,1028,740,1457,41,1006,782,1701
55,506,35799,52,833,857,1281,221,840,875,1389
56,886,35799,44,787,866,1286,221,840,875,1389
57,615,35799,47,859,842,1296,221,840,875,1389
58,501,25988,45,855,126,907,44,859,134,903
59,119,25988,47,863,115,898,44,859,134,903
60,1218,25988,63,855,125,913,44,859,134,903
61,1046,25988,85,869,104,891,44,859,134,903
62,507,25988,63,858,124,910,44,859,134,903
63,1470,25988,65,863,118,910,44,859,134,903
64,1329,20671,44,724,135,795,54,727,151,807
65,120,20671,46,733,129,792,54,727,151,807
66,1182,20671,47,732,118,791,54,727,151,807
67,70,20671,39,724,146,795,54,727,151,807
68,850,20671,45,727,146,796,54,727,151,807
69,600,20754,34,291,325,453,55,281,259,421
70,1689,20754,40,352,107,417,55,281,259,421
71,57,20754,37,312,320,453,55,281,259,421
72,1156,20754,36,361,109,415,55,281,259,421
73,919,20754,18,305,214,426,55,281,259,421
74,1158,20754,15,283,327,444,55,281,259,421
75,91,22331,107,807,336,930,99,809,233,943
76,422,22331,100,799,247,928,99,809,233,943
77,1241,22331,100,812,218,934,99,809,233,943
78,298,22331,118,802,204,901,99,809,233,943
79,488,22331,71,787,333,937,99,809,233,943
80,1562,22331,95,806,325,938,99,809,233,943
81,137,5611,49,801,693,1238,41,833,660,1141
82,1073,5611,81,817,687,1258,41,833,660,1141
83,1065,5611,197,943,386,1115,41,833,660,1141
84,528,5611,64,807,169,1002,41,833,660,1141
85,1508,5611,126,808,307,1202,41,833,660,1141
86,149,5611,115,868,691,1253,41,833,660,1141
87,809,5611,97,843,666,1250,41,833,660,1141
88,819,5611,86,811,690,1254,41,833,660,1141
89,967,5611,143,818,655,1253,41,833,660,1141
90,969,5611,422,990,547,1146,41,833,660,1141
91,218,11687,68,697,486,1045,108,687,457,1009
92,1411,11687,106,716,437,1048,108,687,457,1009
93,1469,11687,120,717,394,1049,108,687,457,1009
94,1092,4220,128,542,447,756,156,529,361,703
95,1255,4220,165,546,435,801,156,529,361,703
96,152,4220,129,565,443,742,156,529,361,703
97,1752,4220,192,570,320,768,156,529,361,703
98,1467,4220,162,585,435,781,156,529,361,703
99,441,4220,178,554,439,762,156,529,361,703
100,1400,229,107,363,566,755,16,407,332,787
101,831,229,40,395,596,893,16,407,332,787
102,1243,229,40,397,518,879,16,407,332,787
103,1287,31168,120,753,205,903,82,767,189,887
104,1142,31168,165,757,200,789,82,767,189,887
105,433,31168,120,755,215,907,82,767,189,887
106,813,31168,106,754,185,901,82,767,189,887
107,207,31168,144,748,212,809,82,767,189,887
108,492,31168,111,752,246,840,82,767,189,887
109,909,31168,146,748,172,836,82,767,189,887
110,1508,31168,93,746,198,907,82,767,189,887
111,535,31168,137,767,203,896,82,767,189,887
112,1263,3775,67,576,276,775,112,578,217,700
113,562,3775,88,578,284,782,112,578,217,700
114,1045,3775,94,574,244,755,112,578,217,700
115,1302,20558,176,1112,360,1154,95,1060,379,1210
116,1623,20558,181,1103,340,1184,95,1060,379,1210
117,919,20558,165,1093,347,1202,95,1060,379,1210
118,1156,20558,166,1105,333,1169,95,1060,379,1210
119,1158,20558,159,1087,378,1202,95,1060,379,1210
120,160,20558,172,1089,378,1185,95,1060,379,1210
121,1521,20558,140,1087,379,1187,95,1060,379,1210
122,49,20558,157,1064,377,1213,95,1060,379,1210
123,981,20558,177,1101,326,1176,95,1060,379,1210
124,1133,6933,102,861,922,1668,64,756,1019,1489
125,754,6933,103,795,464,1169,64,756,1019,1489
126,421,6933,236,822,553,1663,64,756,1019,1489
127,1433,6933,222,799,553,1663,64,756,1019,1489
128,1281,6933,110,780,526,1675,64,756,1019,1489
129,577,6933,83,759,625,1699,64,756,1019,1489
130,947,6933,115,777,781,1699,64,756,1019,1489
131,952,6933,308,1186,317,1194,64,756,1019,1489
132,242,25324,64,1035,101,1090,50,1033,106,1094
133,952,25324,82,1040,97,1082,50,1033,106,1094
134,12,25324,68,1040,98,1093,50,1033,106,1094
135,639,25324,78,1039,95,1056,50,1033,106,1094
136,189,25324,60,1035,114,1094,50,1033,106,1094
137,1554,25324,66,1035,111,1093,50,1033,106,1094
138,941,25324,81,1036,109,1094,50,1033,106,1094
139,291,25324,80,1033,109,1077,50,1033,106,1094
140,957,25324,66,1035,112,1094,50,1033,106,1094
141,530,24752,199,1094,577,1555,34,1054,712,1709
142,87,24752,169,1188,610,1546,34,1054,712,1709
143,134,24752,200,1116,562,1551,34,1054,712,1709
144,258,24752,202,1136,580,1538,34,1054,712,1709
145,963,24752,192,1207,565,1487,34,1054,712,1709
146,1732,24752,282,1148,487,1446,34,1054,712,1709
147,592,24752,62,1077,672,1551,34,1054,712,1709
148,805,24752,185,1224,388,1419,34,1054,712,1709
149,931,4927,586,1264,588,1266,92,861,601,1278
150,221,4927,45,862,608,1254,92,861,601,1278
151,1635,4927,140,863,594,1205,92,861,601,1278
152,505,4927,117,961,556,1230,92,861,601,1278
153,401,4927,52,871,594,1240,92,861,601,1278
154,1601,4927,184,866,472,1158,92,861,601,1278
155,1116,4927,73,859,608,1267,92,861,601,1278
156,525,23173,277,503,577,804,132,519,657,713
157,636,23173,204,528,633,839,132,519,657,713
158,1182,23173,294,590,575,837,132,519,657,713
159,1728,18756,82,739,679,1143,91,718,670,1243
160,699,18756,116,781,598,1106,91,718,670,1243
161,297,18756,64,726,703,1165,91,718,670,1243
162,886,28677,53,508,329,655,57,509,397,675
163,61,28677,76,507,345,652,57,509,397,675
164,1225,28677,50,508,380,637,57,509,397,675
165,955,27107,34,529,574,878,215,496,565,939
166,744,27107,63,584,295,872,215,496,565,939
167,79,27107,89,561,542,864,215,496,565,939
168,340,27107,53,657,516,850,215,496,565,939
169,409,27107,75,615,495,870,215,496,565,939
170,421,27107,56,641,311,868,215,496,565,939
171,337,27107,58,620,566,850,215,496,565,939
172,1187,27107,64,650,569,879,215,496,565,939
173,577,27107,62,594,549,864,215,496,565,939
174,1719,27107,93,594,538,849,215,496,565,939
175,638,27107,49,645,562,864,215,496,565,939
176,330,21822,170,369,823,1134,62,305,867,943
177,1182,21822,198,612,754,1097,62,305,867,943
178,853,21822,251,395,807,1090,62,305,867,943
179,569,18346,667,789,670,791,21,608,751,1336
180,416,18346,27,732,711,1136,21,608,751,1336
181,890,18346,24,732,687,1150,21,608,751,1336
182,1659,18346,261,929,671,1152,21,608,751,1336
183,956,18346,198,783,216,787,21,608,751,1336
184,1720,18346,38,731,673,1155,21,608,751,1336
185,957,23371,32,471,120,532,25,469,115,533
186,752,23371,30,472,119,530,25,469,115,533
187,636,23371,29,471,119,531,25,469,115,533
188,283,10521,73,847,315,992,44,823,325,1004
189,1599,10521,100,868,315,994,44,823,325,1004
190,886,10521,55,835,318,995,44,823,325,1004
191,392,10521,66,850,314,999,44,823,325,1004
192,1696,10521,67,837,310,994,44,823,325,1004
193,279,35719,182,617,628,767,28,573,707,1022
194,1046,35719,152,787,540,886,28,573,707,1022
195,1704,35719,75,623,635,919,28,573,707,1022
196,1408,35719,198,646,536,915,28,573,707,1022
197,615,35719,164,600,576,943,28,573,707,1022
198,506,35719,244,640,550,753,28,573,707,1022
199,886,35719,245,619,554,761,28,573,707,1022
200,1602,35719,116,578,642,931,28,573,707,1022
201,119,35719,165,732,572,907,28,573,707,1022
202,1654,32159,142,610,539,1037,101,624,597,1069
203,1281,32159,102,555,858,1304,101,624,597,1069
204,957,32159,117,553,773,1273,101,624,597,1069
205,947,32159,108,475,856,1304,101,624,597,1069
206,525,32159,161,561,701,1127,101,624,597,1069
207,191,32159,129,653,627,1185,101,624,597,1069
208,934,33084,61,639,319,939,67,647,428,944
209,1530,33084,80,680,292,903,67,647,428,944
210,1270,33084,153,781,272,853,67,647,428,944
211,272,33084,63,687,338,939,67,647,428,944
212,7,33084,53,642,346,940,67,647,428,944
213,58,33084,90,683,298,851,67,647,428,944
214,318,33084,75,673,309,897,67,647,428,944
215,884,33084,46,639,381,936,67,647,428,944
216,285,33084,62,662,382,877,67,647,428,944
217,1500,23728,70,657,279,797,61,598,220,850
218,971,23728,36,595,322,811,61,598,220,850
219,140,23728,51,630,283,802,61,598,220,850
220,355,19125,72,420,142,541,19,418,219,568
221,817,19125,59,442,162,530,19,418,219,568
222,1663,19125,71,421,192,544,19,418,219,568
223,763,19125,76,430,181,540,19,418,219,568
224,1503,19125,87,440,156,528,19,418,219,568
225,429,19125,93,427,154,526,19,418,219,568
226,1508,142,265,295,623,711,107,197,1005,782
227,1134,142,277,344,615,707,107,197,1005,782
228,436,142,227,319,669,702,107,197,1005,782
229,1389,12677,63,812,417,1164,37,808,578,1207
230,909,12677,157,828,473,1158,37,808,578,1207
231,963,12677,151,871,400,1166,37,808,578,1207
232,306,6497,78,1208,417,1627,89,1255,384,1532
233,1389,6497,78,1199,460,1626,89,1255,384,1532
234,195,6497,89,1202,375,1616,89,1255,384,1532
235,1540,5067,107,600,715,1422,17,537,725,1445
236,478,5067,128,684,628,1337,17,537,725,1445
237,577,5067,158,691,550,1351,17,537,725,1445
238,521,1811,30,500,73,535,43,502,62,530
239,190,1811,31,499,65,524,43,502,62,530
240,1650,1811,43,509,57,528,43,502,62,530
241,518,1811,32,500,71,532,43,502,62,530
242,338,1811,32,510,68,522,43,502,62,530
243,952,1811,33,501,63,525,43,502,62,530
244,748,1811,35,501,58,516,43,502,62,530
245,744,1811,29,497,72,535,43,502,62,530
246,1274,1811,31,498,66,535,43,502,62,530
247,831,13695,46,883,325,1006,51,872,282,1132
248,552,13695,59,887,322,1003,51,872,282,1132
249,1308,13695,38,890,321,1010,51,872,282,1132
250,161,13695,57,885,322,1008,51,872,282,1132
251,315,13695,58,882,292,1008,51,872,282,1132
252,1739,13855,57,1121,62,1126,56,1121,62,1127
253,315,13855,57,1122,62,1126,56,1121,62,1127
254,552,13855,56,1121,64,1127,56,1121,62,1127
255,523,35648,236,948,886,1321,230,962,902,1308
256,1435,35648,179,962,901,1327,230,962,902,1308
257,1425,35648,245,911,891,1334,230,962,902,1308
258,952,35648,227,876,329,964,230,962,902,1308
259,191,35648,276,1000,521,1180,230,962,902,1308
260,891,35648,32,734,902,1332,230,962,902,1308
261,1420,35648,299,915,883,1309,230,962,902,1308
262,895,35648,278,921,901,1330,230,962,902,1308
263,631,35648,277,906,890,1341,230,962,902,1308
264,1147,18159,140,870,272,1066,108,862,242,1016
265,246,18159,124,874,294,1064,108,862,242,1016
266,480,18159,127,871,287,1005,108,862,242,1016
267,245,18159,151,868,301,1058,108,862,242,1016
268,254,18159,129,869,284,1062,108,862,242,1016
269,1397,18281,123,820,420,987,89,862,390,1001
270,374,18281,166,838,448,964,89,862,390,1001
271,161,18281,140,799,476,1022,89,862,390,1001
272,1304,18281,165,881,465,1065,89,862,390,1001
273,1622,18281,204,878,411,963,89,862,390,1001
274,831,10732,42,534,447,831,49,536,477,863
275,1743,10732,172,527,420,714,49,536,477,863
276,660,10732,44,545,453,845,49,536,477,863
277,917,10732,135,532,471,858,49,536,477,863
278,1212,10732,27,526,471,856,49,536,477,863
279,450,10732,32,528,466,855,49,536,477,863
280,1136,14941,27,313,146,411,29,302,170,403
281,1016,14941,44,316,140,402,29,302,170,403
282,970,14941,46,313,156,408,29,302,170,403
283,1723,6090,165,529,398,802,47,578,340,809
284,137,6090,130,520,401,802,47,578,340,809
285,1389,6090,141,533,390,798,47,578,340,809
286,490,6090,206,525,389,775,47,578,340,809
287,529,6090,128,518,404,801,47,578,340,809
288,90,6090,220,542,392,805,47,578,340,809
289,1562,6090,193,539,400,788,47,578,340,809
